UniprotID,chembl_targets,type
P21709,CHEMBL2363043,PROTEIN FAMILY
P21802,CHEMBL4142,SINGLE PROTEIN
P21802,CHEMBL2111434,SELECTIVITY GROUP
P21802,CHEMBL2095217,PROTEIN FAMILY
P21860,CHEMBL5838,SINGLE PROTEIN
P21860,CHEMBL2363049,PROTEIN FAMILY
P22455,CHEMBL3973,SINGLE PROTEIN
P22455,CHEMBL2095217,PROTEIN FAMILY
P22607,CHEMBL2742,SINGLE PROTEIN
P22607,CHEMBL2095217,PROTEIN FAMILY
P22612,CHEMBL2743,SINGLE PROTEIN
P22612,CHEMBL2094138,PROTEIN FAMILY
P22694,CHEMBL2918,SINGLE PROTEIN
P22694,CHEMBL2094138,PROTEIN FAMILY
P23443,CHEMBL4501,SINGLE PROTEIN
P23443,CHEMBL2111330,PROTEIN COMPLEX
P23443,CHEMBL3832633,PROTEIN FAMILY
P23443,CHEMBL3885629,PROTEIN FAMILY
P23458,CHEMBL2835,SINGLE PROTEIN
P23458,CHEMBL3301390,PROTEIN COMPLEX
P23458,CHEMBL3301391,PROTEIN COMPLEX
P23458,CHEMBL3038491,PROTEIN COMPLEX
P23458,CHEMBL3038492,PROTEIN COMPLEX
P23458,CHEMBL2363062,PROTEIN FAMILY
P24723,CHEMBL3616,SINGLE PROTEIN
P24723,CHEMBL2093867,PROTEIN FAMILY
P24723,CHEMBL2096620,PROTEIN FAMILY
P24941,CHEMBL301,SINGLE PROTEIN
P24941,CHEMBL2094126,PROTEIN COMPLEX
P24941,CHEMBL2094128,PROTEIN COMPLEX
P24941,CHEMBL2111326,SELECTIVITY GROUP
P24941,CHEMBL1907605,PROTEIN COMPLEX
P24941,CHEMBL3038469,PROTEIN COMPLEX
P24941,CHEMBL3038470,PROTEIN COMPLEX
P24941,CHEMBL3559691,PROTEIN FAMILY
P24941,CHEMBL3038517,PROTEIN FAMILY
P24941,CHEMBL4106152,PROTEIN COMPLEX
P24941,CHEMBL4106153,PROTEIN COMPLEX
P24941,CHEMBL3885552,PROTEIN COMPLEX
P25092,CHEMBL1795197,SINGLE PROTEIN
P25098,CHEMBL4079,SINGLE PROTEIN
P25440,CHEMBL1293289,SINGLE PROTEIN
P25440,CHEMBL4296614,PROTEIN FAMILY
P25440,CHEMBL4296134,PROTEIN-PROTEIN INTERACTION
P25440,CHEMBL4296143,PROTEIN-PROTEIN INTERACTION
P25440,CHEMBL4296149,PROTEIN-PROTEIN INTERACTION
P27037,CHEMBL5616,SINGLE PROTEIN
P27361,CHEMBL3385,SINGLE PROTEIN
P27361,CHEMBL1907606,PROTEIN FAMILY
P27448,CHEMBL5600,SINGLE PROTEIN
P28482,CHEMBL4040,SINGLE PROTEIN
P28482,CHEMBL1907606,PROTEIN FAMILY
P28482,CHEMBL3885566,PROTEIN FAMILY
P29317,CHEMBL2068,SINGLE PROTEIN
P29317,CHEMBL2363043,PROTEIN FAMILY
P29320,CHEMBL4954,SINGLE PROTEIN
P29320,CHEMBL2363043,PROTEIN FAMILY
P29322,CHEMBL4134,SINGLE PROTEIN
P29322,CHEMBL2363043,PROTEIN FAMILY
P29323,CHEMBL3290,SINGLE PROTEIN
P29323,CHEMBL2363043,PROTEIN FAMILY
P29376,CHEMBL5627,SINGLE PROTEIN
P29597,CHEMBL3553,SINGLE PROTEIN
P29597,CHEMBL3301390,PROTEIN COMPLEX
P29597,CHEMBL3301391,PROTEIN COMPLEX
P29597,CHEMBL3301392,PROTEIN COMPLEX
P29597,CHEMBL2363062,PROTEIN FAMILY
P30291,CHEMBL5491,SINGLE PROTEIN
P30530,CHEMBL4895,SINGLE PROTEIN
P31152,CHEMBL5759,SINGLE PROTEIN
P31749,CHEMBL2111353,PROTEIN FAMILY
P31749,CHEMBL4282,SINGLE PROTEIN
P31749,CHEMBL3038463,PROTEIN COMPLEX
P31749,CHEMBL4106175,PROTEIN FAMILY
P31749,CHEMBL3885629,PROTEIN FAMILY
P31751,CHEMBL2431,SINGLE PROTEIN
P31751,CHEMBL2111353,PROTEIN FAMILY
P31751,CHEMBL4106175,PROTEIN FAMILY
P32298,CHEMBL5861,SINGLE PROTEIN
P33981,CHEMBL3983,SINGLE PROTEIN
P34947,CHEMBL5678,SINGLE PROTEIN
P35557,CHEMBL3820,SINGLE PROTEIN
P35557,CHEMBL3885579,PROTEIN-PROTEIN INTERACTION
P35590,CHEMBL5274,SINGLE PROTEIN
P35626,CHEMBL1075166,SINGLE PROTEIN
P35916,CHEMBL1955,SINGLE PROTEIN
P35916,CHEMBL2111409,SELECTIVITY GROUP
P35916,CHEMBL2095227,PROTEIN FAMILY
P35916,CHEMBL3301389,PROTEIN-PROTEIN INTERACTION
P35968,CHEMBL279,SINGLE PROTEIN
P35968,CHEMBL2111336,SELECTIVITY GROUP
P35968,CHEMBL2111375,SELECTIVITY GROUP
P35968,CHEMBL2111409,SELECTIVITY GROUP
P35968,CHEMBL2111428,SELECTIVITY GROUP
P35968,CHEMBL2111434,SELECTIVITY GROUP
P35968,CHEMBL2111439,PROTEIN FAMILY
P35968,CHEMBL2111440,SELECTIVITY GROUP
P35968,CHEMBL2095227,PROTEIN FAMILY
P35968,CHEMBL2111480,SELECTIVITY GROUP
