,UniprotID,Name,kinhub,klifs,pkinfam,reviewed_uniprot,dunbrack_msa
345,Q12805,FBLN3,False,False,False,True,False
346,Q12851,MAP4K2|M4K2,True,True,True,True,True
347,Q12852,M3K12|MAP3K12,True,True,True,True,True
348,Q12866,MERTK,True,True,True,True,True
349,Q12959,DLG1,False,False,False,True,False
350,Q12979,ABR,True,False,False,False,False
351,Q13043,STK4,True,True,True,True,True
352,Q13057,COASY,False,False,False,True,False
353,Q13131,PRKAA1|AAPK1,True,True,True,True,True
354,Q13153,PAK1,True,True,True,True,True
355,Q13163,MP2K5|MAP2K5,True,True,True,True,True
356,Q13164,MAPK7|MK07,True,True,True,True,True
357,Q13177,PAK2,True,True,True,True,True
358,Q13188,STK3,True,True,True,True,True
359,Q13232,NDK3,False,False,False,True,False
360,Q13233,MAP3K1|M3K1,True,True,True,True,True
361,Q13237,PRKG2|KGP2,True,True,True,True,True
362,Q13239,SLAP1,False,False,False,True,False
363,Q13263,TRIM28|TIF1B,True,True,False,True,False
364,Q13308,PTK7,True,True,True,True,True
365,Q13315,ATM,True,True,True,True,False
366,Q13418,ILK,True,True,True,True,True
367,Q13464,ROCK1,True,True,True,True,True
368,Q13470,TNK1,True,True,True,True,True
369,Q13501,SQSTM,False,False,False,True,False
370,Q13523,PRPF4B|PRP4B,True,True,True,True,True
371,Q13535,ATR,True,True,True,True,False
372,Q13546,RIPK1,True,True,True,True,True
373,Q13554,CAMK2B|KCC2B,True,True,True,True,True
374,Q13555,CAMK2G|KCC2G,True,True,True,True,True
375,Q13557,KCC2D|CAMK2D,True,True,True,True,True
376,Q13572,ITPK1,False,False,False,True,False
377,Q13574,DGKZ,False,False,False,True,False
378,Q13627,DYRK1A|DYR1A,True,True,True,True,True
379,Q13670,PM2PB,False,False,False,True,False
380,Q13705,ACVR2B|AVR2B,True,True,True,True,True
381,Q13873,BMPR2,True,True,True,True,True
382,Q13882,PTK6,True,True,True,True,True
383,Q13976,KGP1|PRKG1,True,True,True,True,True
384,Q14004,CDK13,True,True,True,True,True
385,Q14012,KCC1A|CAMK1,True,True,True,True,True
386,Q14164,IKKE|IKBKE,True,True,True,True,True
387,Q14289,PTK2B|FAK2,True,True,True,True,True
388,Q14296,FASTK,True,True,True,True,False
389,Q14409,GLPK3,False,False,False,True,False
390,Q14410,GLPK2,False,False,False,True,False
391,Q14680,MELK,True,True,True,True,True
392,Q14766,LTBP1,False,False,False,True,False
393,Q14CZ7,FAKD3,False,False,False,True,False
394,Q15059,BRD3,True,True,False,False,False
395,Q15078,CD5R1,False,False,False,True,False
396,Q15118,PDK1,True,True,True,True,False
397,Q15119,PDK2,True,True,True,True,False
398,Q15120,PDK3,True,True,True,True,False
399,Q15126,PMVK,False,False,False,True,False
400,Q15131,CDK10,True,True,True,True,True
401,Q15139,KPCD1|PRKD1,True,True,True,True,True
402,Q15198,PGFRL,False,False,False,True,False
403,Q15208,STK38,True,True,True,True,True
404,Q15303,ERBB4,True,True,True,True,True
