UniprotID,Name,chembl_targets,type,origin
P80192,MAP3K9|M3K9,CHEMBL2872,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q00526,CDK3,CHEMBL4442,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q00532,CDKL1,CHEMBL5789,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q00534,CDK6,CHEMBL2508,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q00535,CDK5,CHEMBL4036,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q00536,CDK16,CHEMBL4597,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q00537,CDK17,CHEMBL5790,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q01973,ROR1,CHEMBL4665585,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q01974,ROR2,CHEMBL2375201,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q02156,PRKCE|KPCE,CHEMBL3582,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q02750,MAP2K1|MP2K1,CHEMBL3587,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q02763,TEK|TIE2,CHEMBL4128,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q02779,MAP3K10|M3K10,CHEMBL2873,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q04759,KPCT|PRKCQ,CHEMBL3920,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q04771,ACVR1,CHEMBL5903,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q04912,RON|MST1R,CHEMBL2689,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q05397,FAK1|PTK2,CHEMBL2695,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q05513,PRKCZ|KPCZ,CHEMBL3438,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q05655,PRKCD|KPCD,CHEMBL2996,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q05823,RN5A|RNASEL,CHEMBL3575,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q06187,BTK,CHEMBL5251,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q06418,TYRO3,CHEMBL5314,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q07002,CDK18,CHEMBL5316,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q07912,ACK1|TNK2,CHEMBL4599,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q08345,DDR1,CHEMBL5319,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q08881,ITK,CHEMBL2959,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q09013,DMPK,CHEMBL5320,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q12851,M4K2|MAP4K2,CHEMBL5330,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q12852,M3K12|MAP3K12,CHEMBL1908389,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q12866,MERTK,CHEMBL5331,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q13043,STK4,CHEMBL4598,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q13131,AAPK1|PRKAA1,CHEMBL4045,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q13153,PAK1,CHEMBL4600,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q13163,MAP2K5|MP2K5,CHEMBL4948,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q13164,MK07|MAPK7,CHEMBL5332,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q13177,PAK2,CHEMBL4487,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q13188,STK3,CHEMBL4708,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q13233,M3K1|MAP3K1,CHEMBL3956,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q13237,PRKG2|KGP2,CHEMBL2896,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q13263,TRIM28,CHEMBL3769297,SINGLE PROTEIN,kinhub|klifs
Q13315,ATM,CHEMBL3797,SINGLE PROTEIN,kinhub|klifs|pkinfam
Q13418,ILK,CHEMBL5247,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q13464,ROCK1,CHEMBL3231,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q13470,TNK1,CHEMBL5334,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q13523,PRP4B|PRPF4B,CHEMBL1908382,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q13535,ATR,CHEMBL5024,SINGLE PROTEIN,kinhub|klifs|pkinfam
Q13546,RIPK1,CHEMBL5464,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q13554,KCC2B|CAMK2B,CHEMBL4121,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q13555,CAMK2G|KCC2G,CHEMBL3829,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q13557,KCC2D|CAMK2D,CHEMBL2801,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q13627,DYRK1A|DYR1A,CHEMBL2292,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q13705,ACVR2B|AVR2B,CHEMBL5466,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q13873,BMPR2,CHEMBL5467,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q13882,PTK6,CHEMBL4601,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q13976,PRKG1|KGP1,CHEMBL4273,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q14004,CDK13,CHEMBL1795192,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q14012,CAMK1|KCC1A,CHEMBL2493,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q14164,IKBKE|IKKE,CHEMBL3529,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q14289,PTK2B|FAK2,CHEMBL5469,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q14680,MELK,CHEMBL4578,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q15059,BRD3,CHEMBL1795186,SINGLE PROTEIN,kinhub|klifs
Q15118,PDK1,CHEMBL4766,SINGLE PROTEIN,kinhub|klifs|pkinfam
Q15119,PDK2,CHEMBL3861,SINGLE PROTEIN,kinhub|klifs|pkinfam
Q15120,PDK3,CHEMBL3893,SINGLE PROTEIN,kinhub|klifs|pkinfam
Q15131,CDK10,CHEMBL1795191,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q15139,KPCD1|PRKD1,CHEMBL3863,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q15208,STK38,CHEMBL1075155,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q15303,ERBB4,CHEMBL3009,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q15349,KS6A2|RPS6KA2|RPS6KA2-b,CHEMBL3906,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q15375,EPHA7,CHEMBL4602,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q15418,RPS6KA1-b|KS6A1|RPS6KA1,CHEMBL2553,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q15569,TESK1,CHEMBL5604,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q15746,MYLK,CHEMBL2428,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q15759,MAPK11|MK11,CHEMBL3961,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q15831,STK11,CHEMBL5606,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q15835,GRK1,CHEMBL5607,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q16288,NTRK3,CHEMBL5608,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q16512,PKN1,CHEMBL3384,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q16513,PKN2,CHEMBL3032,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q16539,MAPK14|MK14,CHEMBL260,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q16566,CAMK4|KCC4,CHEMBL2494,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q16584,MAP3K11|M3K11,CHEMBL2708,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q16620,NTRK2,CHEMBL4898,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q16644,MAPK3|MAPKAPK3,CHEMBL4670,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q16654,PDK4,CHEMBL4141,SINGLE PROTEIN,kinhub|klifs|pkinfam
Q16659,MAPK6|MK06,CHEMBL5121,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q16816,PHKG1,CHEMBL4004,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q16832,DDR2,CHEMBL5122,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q2M2I8,AAK1,CHEMBL3830,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q32MK0,MYLK3,CHEMBL4627,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q3MIX3,ADCK5,CHEMBL4105886,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot
Q52WX2,SBK1,CHEMBL1163129,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q56UN5,MAP3K19|M3K19,CHEMBL6191,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q58A45,PAN3,CHEMBL4105985,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q58F21,BRDT,CHEMBL1795185,SINGLE PROTEIN,kinhub|klifs
Q59H18,TNI3K|TNNI3K,CHEMBL5260,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q5MAI5,CDKL4,CHEMBL4523326,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q5S007,LRRK2,CHEMBL1075104,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q5TCX8,M3K21|MAP3K21,CHEMBL3627584,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q5TCY1,TTBK1,CHEMBL1926492,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q5VT25,CDC42BPA|MRCKA,CHEMBL4516,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q6DT37,CDC42BPG|MRCKG,CHEMBL5615,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q6IQ55,TTBK2,CHEMBL3337327,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q6P0Q8,MAST2,CHEMBL2417355,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q6P2M8,PNCK|KCC1B,CHEMBL3627592,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q6P3R8,NEK5,CHEMBL5044,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q6P5Z2,PKN3,CHEMBL3627581,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q6PHR2,ULK3,CHEMBL5047,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q6SA08,TSSK4,CHEMBL4295868,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q6VAB6,KSR2,CHEMBL3627583,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q6XUX3,DUSTY|DSTYK,CHEMBL1908386,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q6ZN16,M3K15|MAP3K15,CHEMBL1163127,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q6ZWH5,NEK10,CHEMBL3108655,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q76MJ5,ERN2,CHEMBL4105932,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q7KZI7,MARK2,CHEMBL3831,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q7L7X3,TAOK1,CHEMBL5261,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q7RTN6,STRADA|STRAA,CHEMBL1795198,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q86SG6,NEK8,CHEMBL2417353,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q86TW2,ADCK1,CHEMBL4105885,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot
Q86UE8,TLK2,CHEMBL5404,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q86UX6,STK32C|ST32C,CHEMBL5405,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q86V86,PIM3,CHEMBL5407,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q86Y07,VRK2,CHEMBL1649059,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q86YV6,MYLK4,CHEMBL5426,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q86Z02,HIPK1,CHEMBL5427,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q8IU85,CAMK1D|KCC1D,CHEMBL5073,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q8IV63,VRK3,CHEMBL3430761,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q8IVH8,MAP4K3|M4K3,CHEMBL5432,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q8IVT5,KSR1,CHEMBL1938215,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q8IVW4,CDKL3,CHEMBL1163117,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q8IW41,MAPKAPK5|MAPK5,CHEMBL3094,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q8IWQ3,BRSK2,CHEMBL4574,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q8IY84,NIM1K|NIM1,CHEMBL3542,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q8IYT8,ULK2,CHEMBL5435,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q8IZL9,CDK20,CHEMBL3559690,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q8IZX4,TAF1L,CHEMBL3108641,SINGLE PROTEIN,kinhub|klifs
Q8N4C8,MINK1,CHEMBL5518,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q8N568,DCLK2,CHEMBL5519,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q8N5S9,CAMKK1|KKCC1,CHEMBL5256,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q8N752,CSNK1A1L|KC1AL,CHEMBL5520,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q8NB16,MLKL,CHEMBL1938217,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q8NE63,HIPK4,CHEMBL1075167,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q8NEB9,PIK3C3,CHEMBL1075165,SINGLE PROTEIN,klifs
Q8NER5,ACV1C|ACVR1C,CHEMBL5642,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q8NEV4,MYO3A,CHEMBL5546,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q8NFD2,ANKK1,CHEMBL5547,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q8NG66,NEK11,CHEMBL5638,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q8NI60,COQ8A|ADCK3,CHEMBL5550,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot
Q8TBX8,PIP4K2C,CHEMBL1770034,SINGLE PROTEIN,klifs
Q8TCG2,PI4K2B,CHEMBL3220,SINGLE PROTEIN,klifs
Q8TD08,MAPK15|MK15,CHEMBL5198,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q8TD19,NEK9,CHEMBL5257,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q8TDC3,BRSK1,CHEMBL5650,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q8TDR2,STK35,CHEMBL5651,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q8TDX7,NEK7,CHEMBL4849,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q8TF76,HASP|HASPIN|GSG2,CHEMBL1075163,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q8WTQ7,GRK7,CHEMBL1075133,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q8WU08,ST32A|STK32A,CHEMBL6150,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q8WXR4,MYO3B,CHEMBL5654,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q92519,TRIB2,CHEMBL4523417,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q92630,DYRK2,CHEMBL4376,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q92772,CDKL2,CHEMBL5728,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q92918,MAP4K1|M4K1,CHEMBL5749,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q96BR1,SGK3,CHEMBL6186,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q96D53,COQ8B|ADCK4,CHEMBL5753,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot
Q96GD4,AURKB,CHEMBL2185,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q96GX5,GWL|MASTL,CHEMBL4105826,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q96J92,WNK4,CHEMBL1795196,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q96KB5,PBK|TOPK,CHEMBL4896,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q96L34,MARK4,CHEMBL5754,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q96NX5,CAMK1G|KCC1G,CHEMBL5258,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q96PF2,TSSK2,CHEMBL6014,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q96PN8,TSSK3,CHEMBL3414416,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q96PY6,NEK1,CHEMBL5855,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q96Q04,LMTK3,CHEMBL4523432,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q96Q15,SMG1,CHEMBL1795195,SINGLE PROTEIN,kinhub|klifs|pkinfam
Q96Q40,CDK15,CHEMBL5856,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q96QT4,TRPM7,CHEMBL1250412,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot
Q96RG2,PASK,CHEMBL6054,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q96RR4,CAMKK2|KKCC2,CHEMBL5284,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q96RU8,TRIB1,CHEMBL4524042,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q96S38,RPS6KC1|KS6C1,CHEMBL1795193,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q96S44,TP53RK|PRPK,CHEMBL1938223,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q96S53,TESK2,CHEMBL2069163,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q96SB4,SRPK1,CHEMBL4375,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q99558,M3K14|MAP3K14,CHEMBL5888,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q99570,PIK3R4|PI3R4,CHEMBL2189144,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q99640,PKMYT1|PMYT1,CHEMBL3984,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q99683,MAP3K5|M3K5,CHEMBL5285,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q99755,PIP5K1A,CHEMBL5969,SINGLE PROTEIN,klifs
Q99759,M3K3|MAP3K3,CHEMBL5970,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q99986,VRK1,CHEMBL1293199,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q9BQI3,E2AK1|EIF2AK1,CHEMBL6029,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q9BRS2,RIOK1,CHEMBL5975,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot
Q9BTU6,PI4K2A,CHEMBL2251,SINGLE PROTEIN,klifs
Q9BUB5,MKNK1,CHEMBL4718,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q9BVS4,RIOK2,CHEMBL6000,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot
Q9BWU1,CDK19,CHEMBL6002,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q9BX84,TRPM6,CHEMBL1628470,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot
Q9BXA6,TSSK6,CHEMBL3627582,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q9BXA7,TSSK1|TSSK1B,CHEMBL6003,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q9BXM7,PINK1,CHEMBL3337330,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q9BXU1,STK31,CHEMBL6151,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q9BYP7,WNK3,CHEMBL6055,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q9BYT3,STK33,CHEMBL6005,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q9BZL6,KPCD2|PRKD2,CHEMBL4900,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q9C098,DCLK3,CHEMBL6123,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
Q9C0K7,STRAB|STRADB,CHEMBL4105756,SINGLE PROTEIN,kinhub|klifs|pkinfam|reviewed_uniprot|dunbrack_msa
